Deaths_per_Million,C6_Stay_at_home_requirements
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,0
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,3
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
L0_0__0_46L,1
