Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L20_52__36_73L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_28_12___11_91L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_28_12___11_91L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_19_64___2_54L,L_22_4___2_57L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L_2_46__16_8L,L4_31__20_52L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_11_91__4_31L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_11_91__4_31L,L_19_64___2_54L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_11_91__4_31L,L_19_64___2_54L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_28_12___11_91L,L_2_54__14_57L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_28_12___11_91L,L_19_64___2_54L,L_2_57__17_26L,L_2_86__4_51L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_28_12___11_91L,L_19_64___2_54L,L_2_57__17_26L,L4_51__11_88L
L0_0__5_62L,L0_0__0_46L,L_10_89__5_11L,L16_8__36_06L,L_11_91__4_31L,L_19_64___2_54L,L_2_57__17_26L,L4_51__11_88L
L0_0__5_62L,L0_0__0_46L,L_26_88___10_89L,L16_8__36_06L,L_11_91__4_31L,L_19_64___2_54L,L_2_57__17_26L,L4_51__11_88L
L5_62__11_23L,L0_0__0_46L,L_26_88___10_89L,L_2_46__16_8L,L_11_91__4_31L,L_19_64___2_54L,L_22_4___2_57L,L4_51__11_88L
L16_85__22_46L,L0_0__0_46L,L_26_88___10_89L,L_2_46__16_8L,L_11_91__4_31L,L_36_74___19_64L,L_22_4___2_57L,L4_51__11_88L
L0_0__5_62L,L0_0__0_46L,L_26_88___10_89L,L16_8__36_06L,L_28_12___11_91L,L_36_74___19_64L,L_22_4___2_57L,L4_51__11_88L
L11_23__16_85L,L0_0__0_46L,L_42_88___26_88L,L_2_46__16_8L,L_28_12___11_91L,L_53_85___36_74L,L_22_4___2_57L,L11_88__19_24L
L11_23__16_85L,L0_0__0_46L,L_42_88___26_88L,L_2_46__16_8L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L16_85__22_46L,L0_0__0_46L,L_42_88___26_88L,L_2_46__16_8L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L11_23__16_85L,L0_0__0_46L,L_42_88___26_88L,L_2_46__16_8L,L_11_91__4_31L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L16_85__22_46L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L11_23__16_85L,L0_0__0_46L,L_58_87___42_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L11_23__16_85L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L5_62__11_23L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L11_23__16_85L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
L5_62__11_23L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
L5_62__11_23L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
L5_62__11_23L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_26_88___10_89L,L_2_46__16_8L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_74_87___58_87L,L_60_23___40_98L,L_28_12___11_91L,L_70_95___53_85L,L_81_9___62_07L,L26_61__33_98L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_2_46__16_8L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_58_87___42_88L,L_40_98___21_72L,L_44_34___28_12L,L_70_95___53_85L,L_62_07___42_24L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_11_91__4_31L,L_70_95___53_85L,L_81_9___62_07L,L26_61__33_98L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_62_07___42_24L,L19_24__26_61L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_44_34___28_12L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L11_88__19_24L
L0_0__5_62L,L0_0__0_46L,L_42_88___26_88L,L_21_72___2_46L,L_28_12___11_91L,L_53_85___36_74L,L_42_24___22_4L,L19_24__26_61L
