Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L9_56__11_88L,L0_06__0_13L,L_45_97___36_34L,L_14_69__0_5L,L_35_16___25_98L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L9_56__11_88L,L0_13__0_19L,L_45_97___36_34L,L_14_69__0_5L,L_44_34___35_16L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L7_24__9_56L,L0_13__0_19L,L_45_97___36_34L,L_14_69__0_5L,L_35_16___25_98L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L7_24__9_56L,L0_06__0_13L,L_45_97___36_34L,L_14_69__0_5L,L_44_34___35_16L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L4_92__7_24L,L0_19__0_25L,L_45_97___36_34L,L_14_69__0_5L,L_44_34___35_16L,L_55_32___50_11L,L_40_19___29_76L,L12_58__16_86L
L2_6__4_92L,L0_19__0_25L,L_45_97___36_34L,L_14_69__0_5L,L_25_98___16_8L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L2_6__4_92L,L0_19__0_25L,L_45_97___36_34L,L_14_69__0_5L,L_35_16___25_98L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L2_6__4_92L,L0_19__0_25L,L_36_34___26_71L,L_14_69__0_5L,L_35_16___25_98L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L2_6__4_92L,L0_0__0_06L,L_36_34___26_71L,L0_5__15_68L,L_25_98___16_8L,L_50_11___44_89L,L_50_61___40_19L,L16_86__21_14L
L2_6__4_92L,L0_06__0_13L,L_74_87___65_24L,L_60_23___45_05L,L_25_98___16_8L,L_70_95___65_74L,L_81_9___71_47L,L29_7__33_98L
L2_6__4_92L,L0_06__0_13L,L_36_34___26_71L,L0_5__15_68L,L_44_34___35_16L,L_55_32___50_11L,L_50_61___40_19L,L16_86__21_14L
L0_27__2_6L,L0_06__0_13L,L_65_24___55_6L,L_45_05___29_87L,L_44_34___35_16L,L_55_32___50_11L,L_50_61___40_19L,L12_58__16_86L
L0_27__2_6L,L0_0__0_06L,L_45_97___36_34L,L_29_87___14_69L,L_7_62__1_56L,L_65_74___60_53L,L_81_9___71_47L,L25_42__29_7L
L0_27__2_6L,L0_0__0_06L,L_36_34___26_71L,L_14_69__0_5L,L_25_98___16_8L,L_55_32___50_11L,L_50_61___40_19L,L16_86__21_14L
L0_27__2_6L,L0_0__0_06L,L_45_97___36_34L,L_14_69__0_5L,L_25_98___16_8L,L_55_32___50_11L,L_50_61___40_19L,L16_86__21_14L
L0_27__2_6L,L0_0__0_06L,L_45_97___36_34L,L_14_69__0_5L,L_16_8___7_62L,L_55_32___50_11L,L_50_61___40_19L,L16_86__21_14L
L0_27__2_6L,L0_06__0_13L,L_45_97___36_34L,L_14_69__0_5L,L_16_8___7_62L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_0__0_06L,L_45_97___36_34L,L_14_69__0_5L,L_35_16___25_98L,L_50_11___44_89L,L_40_19___29_76L,L12_58__16_86L
L0_27__2_6L,L0_0__0_06L,L_45_97___36_34L,L_14_69__0_5L,L_25_98___16_8L,L_50_11___44_89L,L_40_19___29_76L,L12_58__16_86L
L0_27__2_6L,L0_0__0_06L,L_45_97___36_34L,L_14_69__0_5L,L_25_98___16_8L,L_55_32___50_11L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_0__0_06L,L_36_34___26_71L,L_14_69__0_5L,L_25_98___16_8L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_0__0_06L,L_36_34___26_71L,L_14_69__0_5L,L_25_98___16_8L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_25__0_31L,L_36_34___26_71L,L_14_69__0_5L,L_16_8___7_62L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_13__0_19L,L_36_34___26_71L,L0_5__15_68L,L_7_62__1_56L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_0__0_06L,L_55_6___45_97L,L_29_87___14_69L,L_16_8___7_62L,L_50_11___44_89L,L_50_61___40_19L,L16_86__21_14L
L0_27__2_6L,L0_06__0_13L,L_36_34___26_71L,L0_5__15_68L,L_25_98___16_8L,L_50_11___44_89L,L_40_19___29_76L,L12_58__16_86L
L0_27__2_6L,L0_0__0_06L,L_36_34___26_71L,L_14_69__0_5L,L_16_8___7_62L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_19__0_25L,L_36_34___26_71L,L_14_69__0_5L,L_35_16___25_98L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_06__0_13L,L_36_34___26_71L,L_14_69__0_5L,L_44_34___35_16L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
L0_27__2_6L,L0_06__0_13L,L_36_34___26_71L,L_14_69__0_5L,L_44_34___35_16L,L_50_11___44_89L,L_40_19___29_76L,L16_86__21_14L
