Deaths_per_Million,H6_Facial_Coverings
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L12_88__17_17L,0
L12_88__17_17L,0
L12_88__17_17L,0
L12_88__17_17L,0
L4_29__8_59L,0
L8_59__12_88L,0
L17_17__21_47L,0
L4_29__8_59L,0
L17_17__21_47L,0
L12_88__17_17L,0
L8_59__12_88L,0
L4_29__8_59L,0
L4_29__8_59L,0
L8_59__12_88L,0
L17_17__21_47L,0
L8_59__12_88L,0
L8_59__12_88L,0
L8_59__12_88L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L4_29__8_59L,0
L0_0__4_29L,0
L4_29__8_59L,Recommended
L4_29__8_59L,Recommended
L4_29__8_59L,Recommended
L4_29__8_59L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,Recommended
L4_29__8_59L,Recommended
L4_29__8_59L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,Recommended
L0_0__4_29L,1
L4_29__8_59L,1
L0_0__4_29L,1
L4_29__8_59L,1
L0_0__4_29L,1
L0_0__4_29L,1
L8_59__12_88L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,2
L0_0__4_29L,2
L0_0__4_29L,2
L0_0__4_29L,2
L0_0__4_29L,2
