Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L6_76__28_34L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L6_76__28_34L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L6_76__28_34L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_15_04__3_45L,L_4_25__19_47L,L6_76__28_34L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_33_52___15_04L,L_4_25__19_47L,L_14_83__6_76L,L_7_95__11_89L,L_13_04__1_42L,L_0_24__6_82L
L0_0__22_86L,L0_0__1_5L,L_33_52___15_04L,L19_47__43_18L,L6_76__28_34L,L_27_79___7_95L,L_13_04__1_42L,L_0_24__6_82L
L22_86__45_72L,L0_0__1_5L,L_52_01___33_52L,L19_47__43_18L,L_14_83__6_76L,L_27_79___7_95L,L_41_96___27_5L,L6_82__13_87L
L0_0__22_86L,L0_0__1_5L,L_70_49___52_01L,L_27_96___4_25L,L_36_42___14_83L,L_47_63___27_79L,L_56_42___41_96L,L20_93__27_98L
L0_0__22_86L,L0_0__1_5L,L_88_98___70_49L,L_51_67___27_96L,L_58_0___36_42L,L_87_32___67_48L,L_70_88___56_42L,L20_93__27_98L
L22_86__45_72L,L0_0__1_5L,L_88_98___70_49L,L_51_67___27_96L,L_58_0___36_42L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L22_86__45_72L,L3_0__4_5L,L_88_98___70_49L,L_51_67___27_96L,L_79_59___58_0L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L22_86__45_72L,L1_5__3_0L,L_88_98___70_49L,L_75_38___51_67L,L_79_59___58_0L,L_87_32___67_48L,L_56_42___41_96L,L20_93__27_98L
L22_86__45_72L,L1_5__3_0L,L_88_98___70_49L,L_75_38___51_67L,L_79_59___58_0L,L_87_32___67_48L,L_56_42___41_96L,L13_87__20_93L
L45_72__68_58L,L1_5__3_0L,L_88_98___70_49L,L_51_67___27_96L,L_58_0___36_42L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L22_86__45_72L,L3_0__4_5L,L_88_98___70_49L,L_51_67___27_96L,L_58_0___36_42L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L22_86__45_72L,L3_0__4_5L,L_88_98___70_49L,L_51_67___27_96L,L_79_59___58_0L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L45_72__68_58L,L4_5__5_99L,L_88_98___70_49L,L_51_67___27_96L,L_79_59___58_0L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L45_72__68_58L,L3_0__4_5L,L_88_98___70_49L,L_51_67___27_96L,L_79_59___58_0L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L68_58__91_44L,L4_5__5_99L,L_88_98___70_49L,L_75_38___51_67L,L_79_59___58_0L,L_87_32___67_48L,L_70_88___56_42L,L20_93__27_98L
L22_86__45_72L,L3_0__4_5L,L_88_98___70_49L,L_75_38___51_67L,L_79_59___58_0L,L_87_32___67_48L,L_56_42___41_96L,L13_87__20_93L
L45_72__68_58L,L5_99__7_49L,L_88_98___70_49L,L_51_67___27_96L,L_79_59___58_0L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
L91_44__114_3L,L5_99__7_49L,L_88_98___70_49L,L_51_67___27_96L,L_58_0___36_42L,L_87_32___67_48L,L_70_88___56_42L,L27_98__35_03L
