Deaths_per_Million,C6_Stay_at_home_requirements
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,3
L0_0__1_23L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L2_45__3_68L,3
L1_23__2_45L,3
L2_45__3_68L,3
L1_23__2_45L,3
L2_45__3_68L,3
L1_23__2_45L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L1_23__2_45L,3
L2_45__3_68L,3
L1_23__2_45L,3
L2_45__3_68L,3
L2_45__3_68L,3
L2_45__3_68L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L1_23__2_45L,3
L0_0__1_23L,3
L1_23__2_45L,3
L1_23__2_45L,3
L0_0__1_23L,3
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L1_23__2_45L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L0_0__1_23L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L0_0__1_23L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L1_23__2_45L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,3
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L0_0__1_23L,0
L1_23__2_45L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L1_23__2_45L,1
L1_23__2_45L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L0_0__1_23L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L0_0__1_23L,1
L0_0__1_23L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L1_23__2_45L,1
L2_45__3_68L,1
L1_23__2_45L,1
L1_23__2_45L,1
L2_45__3_68L,1
L2_45__3_68L,1
L1_23__2_45L,3
L2_45__3_68L,3
L3_68__4_9L,3
L3_68__4_9L,3
L2_45__3_68L,3
L3_68__4_9L,3
L3_68__4_9L,3
L4_9__6_13L,3
L3_68__4_9L,3
L4_9__6_13L,3
L4_9__6_13L,3
L3_68__4_9L,3
L4_9__6_13L,3
L4_9__6_13L,3
