Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L_19_52__1_64L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L_46_01___5_68L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L_19_52__1_64L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L_19_52__1_64L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L_19_52__1_64L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L34_64__74_97L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L_19_52__1_64L,L34_64__74_97L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L_19_52__1_64L,L34_64__74_97L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L74_97__115_3L,L_3_65__16_27L,L_32_31___14_57L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L_5_68__34_64L,L_23_58___3_65L,L_67_8___50_06L,L6_39__16_89L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
L0_0__145_86L,L0_0__1_23L,L_3_05__17_9L,L1_64__22_8L,L_5_68__34_64L,L_3_65__16_27L,L_14_57__3_18L,L_4_12__6_39L
