Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L27_57__35_95L,L0_1__0_33L,L_16_92___11_98L,L_6_93___2_52L,L39_65__52_36L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L27_57__35_95L,L0_56__0_8L,L_16_92___11_98L,L_6_93___2_52L,L39_65__52_36L,L_31_86___29_61L,L_36_29___28_84L,L9_9__12_47L
L35_95__44_34L,L1_03__1_26L,L_21_86___16_92L,L_6_93___2_52L,L39_65__52_36L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L35_95__44_34L,L0_56__0_8L,L_26_81___21_86L,L_11_33___6_93L,L52_36__65_08L,L_22_84___20_58L,L_6_52__0_93L,L2_2__4_77L
L27_57__35_95L,L0_8__1_03L,L_31_75___26_81L,L_20_14___15_74L,L26_93__39_65L,L_29_61___27_35L,L_6_52__0_93L,L_0_37__2_2L
L19_18__27_57L,L0_56__0_8L,L_21_86___16_92L,L_11_33___6_93L,L52_36__65_08L,L_31_86___29_61L,L_36_29___28_84L,L9_9__12_47L
L27_57__35_95L,L0_8__1_03L,L_16_92___11_98L,L_6_93___2_52L,L65_08__77_8L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L35_95__44_34L,L0_1__0_33L,L_16_92___11_98L,L_2_52__1_89L,L52_36__65_08L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L35_95__44_34L,L1_03__1_26L,L_16_92___11_98L,L_6_93___2_52L,L52_36__65_08L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L35_95__44_34L,L0_1__0_33L,L_21_86___16_92L,L_6_93___2_52L,L65_08__77_8L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L44_34__52_72L,L0_56__0_8L,L_26_81___21_86L,L_15_74___11_33L,L52_36__65_08L,L_25_09___22_84L,L_6_52__0_93L,L2_2__4_77L
L27_57__35_95L,L0_56__0_8L,L_31_75___26_81L,L_20_14___15_74L,L26_93__39_65L,L_29_61___27_35L,L_6_52__0_93L,L_0_37__2_2L
L27_57__35_95L,L0_1__0_33L,L_16_92___11_98L,L_11_33___6_93L,L65_08__77_8L,L_31_86___29_61L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_56__0_8L,L_16_92___11_98L,L_6_93___2_52L,L65_08__77_8L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L35_95__44_34L,L0_56__0_8L,L_16_92___11_98L,L_11_33___6_93L,L65_08__77_8L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L27_57__35_95L,L0_1__0_33L,L_16_92___11_98L,L_6_93___2_52L,L77_8__90_52L,L_27_35___25_09L,L_36_29___28_84L,L9_9__12_47L
L27_57__35_95L,L0_1__0_33L,L_16_92___11_98L,L_6_93___2_52L,L77_8__90_52L,L_31_86___29_61L,L_36_29___28_84L,L9_9__12_47L
L27_57__35_95L,L0_1__0_33L,L_26_81___21_86L,L_11_33___6_93L,L77_8__90_52L,L_22_84___20_58L,L_6_52__0_93L,L2_2__4_77L
L19_18__27_57L,L0_33__0_56L,L_31_75___26_81L,L_20_14___15_74L,L26_93__39_65L,L_29_61___27_35L,L_6_52__0_93L,L_0_37__2_2L
L10_8__19_18L,L0_1__0_33L,L_16_92___11_98L,L_6_93___2_52L,L65_08__77_8L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L10_8__19_18L,L0_56__0_8L,L_11_98___7_03L,L_6_93___2_52L,L65_08__77_8L,L_27_35___25_09L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_33__0_56L,L_16_92___11_98L,L_6_93___2_52L,L65_08__77_8L,L_27_35___25_09L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_1__0_33L,L_16_92___11_98L,L_6_93___2_52L,L77_8__90_52L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L27_57__35_95L,L0_56__0_8L,L_16_92___11_98L,L_2_52__1_89L,L77_8__90_52L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_33__0_56L,L_26_81___21_86L,L_11_33___6_93L,L52_36__65_08L,L_22_84___20_58L,L_6_52__0_93L,L2_2__4_77L
L19_18__27_57L,L0_1__0_33L,L_31_75___26_81L,L_20_14___15_74L,L26_93__39_65L,L_25_09___22_84L,L_6_52__0_93L,L_0_37__2_2L
L10_8__19_18L,L0_1__0_33L,L_16_92___11_98L,L_6_93___2_52L,L52_36__65_08L,L_29_61___27_35L,L_36_29___28_84L,L9_9__12_47L
L10_8__19_18L,L0_1__0_33L,L_11_98___7_03L,L_2_52__1_89L,L77_8__90_52L,L_25_09___22_84L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_1__0_33L,L_11_98___7_03L,L_6_93___2_52L,L77_8__90_52L,L_27_35___25_09L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_1__0_33L,L_11_98___7_03L,L_2_52__1_89L,L77_8__90_52L,L_27_35___25_09L,L_36_29___28_84L,L9_9__12_47L
L19_18__27_57L,L0_56__0_8L,L_11_98___7_03L,L_2_52__1_89L,L77_8__90_52L,L_25_09___22_84L,L_36_29___28_84L,L7_34__9_9L
