Cases_per_Million,C6_Stay_at_home_requirements
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,0
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
L0_0__308_48L,1
