Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L_42_91__1_97L,L_8_73__5_64L,L_6_72__12_29L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_18_81___3_64L,L_20_71___8_53L,L_42_91__1_97L,L_23_09___8_73L,L_6_72__12_29L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_18_81___3_64L,L_8_53__3_64L,L_42_91__1_97L,L_23_09___8_73L,L_25_72___6_72L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L1_97__46_85L,L_8_73__5_64L,L_25_72___6_72L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L1_97__46_85L,L_8_73__5_64L,L_25_72___6_72L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L_42_91__1_97L,L_8_73__5_64L,L_25_72___6_72L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L1_97__46_85L,L_8_73__5_64L,L_25_72___6_72L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L_42_91__1_97L,L_8_73__5_64L,L_6_72__12_29L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L1_97__46_85L,L_8_73__5_64L,L_6_72__12_29L,L_5_86__0_16L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L1_97__46_85L,L_8_73__5_64L,L_6_72__12_29L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L3_64__15_82L,L_42_91__1_97L,L_8_73__5_64L,L_6_72__12_29L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L_8_53__3_64L,L_42_91__1_97L,L_8_73__5_64L,L_6_72__12_29L,L0_16__6_19L
L0_0__308_48L,L0_0__2_25L,L_3_64__11_53L,L3_64__15_82L,L1_97__46_85L,L_8_73__5_64L,L_6_72__12_29L,L0_16__6_19L
