Cases_per_Million,Deaths_per_Million,G_Retail,G_Grocery_Pharmacy,G_Parks,G_Transit,G_Workplace,G_Residencial
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L_3_46__1_61L,L_29_55___11_56L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L1_61__6_68L,L_11_56__6_43L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L1_61__6_68L,L_11_56__6_43L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L_3_46__1_61L,L_11_56__6_43L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L1_61__6_68L,L_11_56__6_43L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L_3_46__1_61L,L6_43__24_42L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L1_61__6_68L,L24_42__42_41L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L0_0__9_29L,L0_0__1_04L,L_4_93__2_64L,L_3_46__1_61L,L_29_55___11_56L,L_4_94__4_64L,L_6_39__0_33L,L_0_18__2_56L
L9_29__18_57L,L0_0__1_04L,L_4_93__2_64L,L_3_46__1_61L,L_11_56__6_43L,L_14_51___4_94L,L_6_39__0_33L,L_0_18__2_56L
L9_29__18_57L,L0_0__1_04L,L_4_93__2_64L,L_3_46__1_61L,L_11_56__6_43L,L_14_51___4_94L,L_6_39__0_33L,L_0_18__2_56L
L18_57__27_86L,L0_0__1_04L,L_12_5___4_93L,L1_61__6_68L,L_11_56__6_43L,L_14_51___4_94L,L_6_39__0_33L,L_0_18__2_56L
L9_29__18_57L,L0_0__1_04L,L_20_07___12_5L,L6_68__11_75L,L_29_55___11_56L,L_24_08___14_51L,L_6_39__0_33L,L2_56__5_31L
L9_29__18_57L,L0_0__1_04L,L_20_07___12_5L,L6_68__11_75L,L_11_56__6_43L,L_24_08___14_51L,L_13_11___6_39L,L5_31__8_05L
L0_0__9_29L,L0_0__1_04L,L_27_63___20_07L,L1_61__6_68L,L42_41__60_4L,L_24_08___14_51L,L_13_11___6_39L,L2_56__5_31L
L0_0__9_29L,L0_0__1_04L,L_35_2___27_63L,L_8_53___3_46L,L_29_55___11_56L,L_33_66___24_08L,L_13_11___6_39L,L2_56__5_31L
L0_0__9_29L,L0_0__1_04L,L_27_63___20_07L,L1_61__6_68L,L6_43__24_42L,L_33_66___24_08L,L_26_55___19_83L,L8_05__10_8L
L9_29__18_57L,L0_0__1_04L,L_35_2___27_63L,L_3_46__1_61L,L_11_56__6_43L,L_43_23___33_66L,L_26_55___19_83L,L10_8__13_55L
L9_29__18_57L,L0_0__1_04L,L_35_2___27_63L,L_8_53___3_46L,L_11_56__6_43L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L9_29__18_57L,L0_0__1_04L,L_27_63___20_07L,L_8_53___3_46L,L24_42__42_41L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L9_29__18_57L,L0_0__1_04L,L_35_2___27_63L,L_8_53___3_46L,L_11_56__6_43L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L9_29__18_57L,L1_04__2_07L,L_35_2___27_63L,L_13_6___8_53L,L42_41__60_4L,L_43_23___33_66L,L_19_83___13_11L,L5_31__8_05L
L9_29__18_57L,L1_04__2_07L,L_35_2___27_63L,L_13_6___8_53L,L24_42__42_41L,L_43_23___33_66L,L_19_83___13_11L,L2_56__5_31L
L9_29__18_57L,L1_04__2_07L,L_35_2___27_63L,L_13_6___8_53L,L_11_56__6_43L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L18_57__27_86L,L2_07__3_11L,L_35_2___27_63L,L_13_6___8_53L,L6_43__24_42L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L27_86__37_15L,L2_07__3_11L,L_27_63___20_07L,L_3_46__1_61L,L6_43__24_42L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L27_86__37_15L,L3_11__4_14L,L_27_63___20_07L,L_8_53___3_46L,L42_41__60_4L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L27_86__37_15L,L3_11__4_14L,L_27_63___20_07L,L_8_53___3_46L,L24_42__42_41L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L27_86__37_15L,L3_11__4_14L,L_35_2___27_63L,L_13_6___8_53L,L24_42__42_41L,L_43_23___33_66L,L_19_83___13_11L,L5_31__8_05L
L18_57__27_86L,L4_14__5_18L,L_35_2___27_63L,L_13_6___8_53L,L24_42__42_41L,L_43_23___33_66L,L_19_83___13_11L,L5_31__8_05L
L37_15__46_43L,L4_14__5_18L,L_27_63___20_07L,L_13_6___8_53L,L_11_56__6_43L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
L37_15__46_43L,L4_14__5_18L,L_35_2___27_63L,L_13_6___8_53L,L6_43__24_42L,L_43_23___33_66L,L_33_27___26_55L,L10_8__13_55L
