uuidObjectTypeDividend;uuidMeasureDividend;uuidMeasureDivisor;uuidMeasureNew
ebe0b9fc-658f-4f37-9207-400edd255438;73895dc9-4a5c-43cd-a748-6f348f1966ce;516cf8d7-2958-457f-95dc-667c6a2ab54a;d0c77528-f7ff-4294-b1ba-83e04cfab752
7fc681f0-a507-4b84-857f-00b4ae9d24ed;73895dc9-4a5c-43cd-a748-6f348f1966ce;516cf8d7-2958-457f-95dc-667c6a2ab54a;d0c77528-f7ff-4294-b1ba-83e04cfab752
6136c9d8-d0b0-4911-a2a8-f7e83139ce6b;73895dc9-4a5c-43cd-a748-6f348f1966ce;516cf8d7-2958-457f-95dc-667c6a2ab54a;d0c77528-f7ff-4294-b1ba-83e04cfab752
ebe0b9fc-658f-4f37-9207-400edd255438;70f7cff0-7fcf-45f2-a51b-85bfa156b4e2;516cf8d7-2958-457f-95dc-667c6a2ab54a;24fd48c0-8650-445e-bf93-4bffa57e9c04
7fc681f0-a507-4b84-857f-00b4ae9d24ed;70f7cff0-7fcf-45f2-a51b-85bfa156b4e2;516cf8d7-2958-457f-95dc-667c6a2ab54a;24fd48c0-8650-445e-bf93-4bffa57e9c04
6136c9d8-d0b0-4911-a2a8-f7e83139ce6b;70f7cff0-7fcf-45f2-a51b-85bfa156b4e2;516cf8d7-2958-457f-95dc-667c6a2ab54a;24fd48c0-8650-445e-bf93-4bffa57e9c04
ebe0b9fc-658f-4f37-9207-400edd255438;94efabe7-734e-4731-9832-6756105edf07;516cf8d7-2958-457f-95dc-667c6a2ab54a;797c8e27-d5ea-4e4c-8687-51a409a51268
7fc681f0-a507-4b84-857f-00b4ae9d24ed;94efabe7-734e-4731-9832-6756105edf07;516cf8d7-2958-457f-95dc-667c6a2ab54a;797c8e27-d5ea-4e4c-8687-51a409a51268
6136c9d8-d0b0-4911-a2a8-f7e83139ce6b;94efabe7-734e-4731-9832-6756105edf07;516cf8d7-2958-457f-95dc-667c6a2ab54a;797c8e27-d5ea-4e4c-8687-51a409a51268
ebe0b9fc-658f-4f37-9207-400edd255438;380080f4-2820-476c-826a-727354c07e0d;516cf8d7-2958-457f-95dc-667c6a2ab54a;0b198ce6-315f-4865-8808-464885742b13
7fc681f0-a507-4b84-857f-00b4ae9d24ed;380080f4-2820-476c-826a-727354c07e0d;516cf8d7-2958-457f-95dc-667c6a2ab54a;0b198ce6-315f-4865-8808-464885742b13
6136c9d8-d0b0-4911-a2a8-f7e83139ce6b;380080f4-2820-476c-826a-727354c07e0d;516cf8d7-2958-457f-95dc-667c6a2ab54a;0b198ce6-315f-4865-8808-464885742b13
