x;y;z
oxford_aged_70_older_tbd__oxford_positive_rate_tbd;c3_Google_ParksMobility_index;0.487146375416879
oxford_aged_70_older_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.480673673142779
oxford_aged_70_older_tbd__oxford_total_tests_per_thousand_tbd;c3_Google_ParksMobility_index;0.47122708843712
oxford_aged_70_older_tbd__oxford_tests_per_case_tbd;c3_Google_ParksMobility_index;0.467734697561324
oxford_gdp_per_capita_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.466120902255881
oxford_hospital_beds_per_thousand_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.465939953498188
oxford_aged_70_older_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ParksMobility_index;0.465270907019953
oxford_handwashing_facilities_tbd__oxford_reproduction_rate_tbd;c3_Apple_TransitMobility_index;0.460153600913573
oxford_aged_70_older_tbd__oxford_total_tests_tbd;c3_Google_ParksMobility_index;0.446204055769794
oxford_aged_70_older_tbd__oxford_new_tests_tbd;c3_Google_ParksMobility_index;0.443463109126076
c3_MortalityRateUnder5International_numeric__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.437296083911582
oxford_female_smokers_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.431541028258845
oxford_aged_70_older_tbd__oxford_weekly_icu_admissions_tbd;c3_Apple_TransitMobility_index;0.430564456573625
oxford_human_development_index_tbd__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.427529753389135
oxford_aged_65_older_tbd__oxford_new_tests_smoothed_per_thousand_tbd;c3_Google_ParksMobility_index;0.42485600092454
oxford_median_age_tbd__oxford_new_tests_smoothed_tbd;c3_Google_ParksMobility_index;0.421077424493042
c3_LifeExpectancyInternational_numeric__oxford_tests_per_case_tbd;c3_Apple_TransitMobility_index;0.420109004379473
oxford_gdp_per_capita_tbd__oxford_weekly_icu_admissions_tbd;c3_Google_ResidentialMobility_index;0.419852174542321
